№	Наименование	Население	За месяц	За год
1	село Крымгиреевское	1946	145950	1751400
2	село Султан	1629	122175	1466100
3	станица Воровсколесская	2471	185325	2223900
4	Водораздельный сельсовет	2468	185100	2221200
5	Казинский сельсовет	1567	117525	1410300
6	Красноярский сельсовет	1760	132000	1584000
7	Курсавский сельсовет	12471	1371810	16461720
8	Куршавский сельсовет	1785	133875	1606500
9	Новоянкульский сельсовет	1862	139650	1675800
10	Солуно-Дмитриевский сельсовет	3212	240900	2890800
11	Янкульский сельсовет	2547	191025	2292300
